session_code,id_in_session,participant_code,channel,nickname,body,timestamp
k8wv0sg5,1,tfph6f6d,6-bargaining_tdl_main-7_2_3,RightPartner,Blah,1786781849.0888083
k8wv0sg5,1,tfph6f6d,6-bargaining_tdl_main-7_1_3,LeftPartner,I'm purple,1786781857.7782707
k8wv0sg5,2,zr1axy36,6-bargaining_tdl_main-7_1_2,RightPartner,"I'm Orange, you are Yellow",1786781874.0200179
k8wv0sg5,2,zr1axy36,6-bargaining_tdl_main-7_2_3,LeftPartner,I'm Orange you are purple,1786781884.3293936
ida1gq0j,3,qx1ilups,34-bargaining_tdl_main-35_2_3,RightPartner,prova provaPurple per Orange,1786982170.4332702
ida1gq0j,3,qx1ilups,34-bargaining_tdl_main-35_1_3,LeftPartner,prova prova Purple per yellow,1786982179.082916
ida1gq0j,2,ladsefp8,34-bargaining_tdl_main-35_1_2,RightPartner,prova Orange per Yellow,1786982191.2082303
ida1gq0j,2,ladsefp8,34-bargaining_tdl_main-35_1_2,RightPartner,Prova prova Orange per Purple,1786982204.6159008
ida1gq0j,2,ladsefp8,34-bargaining_tdl_main-35_2_3,LeftPartner,prova prova Orange per purpleeee,1786982217.38922
ida1gq0j,1,hq6n467v,34-bargaining_tdl_main-35_1_3,RightPartner,se se,1786982221.9533303
ida1gq0j,1,hq6n467v,34-bargaining_tdl_main-35_1_2,LeftPartner,awaaaa,1786982224.664014
ida1gq0j,4,mqwgsznm,34-bargaining_tdl_main-36_1_2,RightPartner,saaaa,1786982910.552364
ida1gq0j,4,mqwgsznm,34-bargaining_tdl_main-36_2_3,LeftPartner,vai mo vaaaaaaaaaaaaaa,1786982914.965514
ida1gq0j,5,dppd11s7,34-bargaining_tdl_main-36_2_3,RightPartner,awee ,1786982919.357867
ida1gq0j,5,dppd11s7,34-bargaining_tdl_main-36_1_3,LeftPartner,va mo va,1786982922.6374462
ida1gq0j,6,022lsgxg,34-bargaining_tdl_main-36_1_2,LeftPartner,scamaniii scia,1786982931.940869
ida1gq0j,6,022lsgxg,34-bargaining_tdl_main-36_1_3,RightPartner,aweeeeeee,1786982935.9355397
42wyqhtt,4,1c8niseg,36-bargaining_tdl_main-39_2_3,RightPartner,shahahahahe,1786983570.427837
42wyqhtt,4,1c8niseg,36-bargaining_tdl_main-39_1_3,LeftPartner,dndjsrhsrh,1786983573.115813
42wyqhtt,1,v82mb1l6,36-bargaining_tdl_main-39_1_2,LeftPartner,shshahah,1786983581.5363805
42wyqhtt,2,916rj59e,36-bargaining_tdl_main-39_1_2,RightPartner,dhsrhahah,1786983586.0033522
42wyqhtt,7,jtfiygco,36-bargaining_tdl_main-40_1_2,RightPartner,aegaegagaeg,1786984168.0901093
42wyqhtt,7,jtfiygco,36-bargaining_tdl_main-40_2_3,LeftPartner,thjejrsh,1786984170.6959877
42wyqhtt,9,0sp1r3vj,36-bargaining_tdl_main-40_1_3,RightPartner,srhhahah,1786984177.370523
42wyqhtt,8,msqk2dfp,36-bargaining_tdl_main-40_1_3,LeftPartner,xhrhahaha,1786984182.7245753
