session_code,id_in_session,participant_code,channel,nickname,body,timestamp
k8wv0sg5,1,tfph6f6d,6-bargaining_tdl_main-7_2_3,RightPartner,Blah,1786781849.0888083
k8wv0sg5,1,tfph6f6d,6-bargaining_tdl_main-7_1_3,LeftPartner,I'm purple,1786781857.7782707
k8wv0sg5,2,zr1axy36,6-bargaining_tdl_main-7_1_2,RightPartner,"I'm Orange, you are Yellow",1786781874.0200179
k8wv0sg5,2,zr1axy36,6-bargaining_tdl_main-7_2_3,LeftPartner,I'm Orange you are purple,1786781884.3293936
ida1gq0j,3,qx1ilups,34-bargaining_tdl_main-35_2_3,RightPartner,prova provaPurple per Orange,1786982170.4332702
ida1gq0j,3,qx1ilups,34-bargaining_tdl_main-35_1_3,LeftPartner,prova prova Purple per yellow,1786982179.082916
ida1gq0j,2,ladsefp8,34-bargaining_tdl_main-35_1_2,RightPartner,prova Orange per Yellow,1786982191.2082303
ida1gq0j,2,ladsefp8,34-bargaining_tdl_main-35_1_2,RightPartner,Prova prova Orange per Purple,1786982204.6159008
ida1gq0j,2,ladsefp8,34-bargaining_tdl_main-35_2_3,LeftPartner,prova prova Orange per purpleeee,1786982217.38922
ida1gq0j,1,hq6n467v,34-bargaining_tdl_main-35_1_3,RightPartner,se se,1786982221.9533303
ida1gq0j,1,hq6n467v,34-bargaining_tdl_main-35_1_2,LeftPartner,awaaaa,1786982224.664014
ida1gq0j,4,mqwgsznm,34-bargaining_tdl_main-36_1_2,RightPartner,saaaa,1786982910.552364
ida1gq0j,4,mqwgsznm,34-bargaining_tdl_main-36_2_3,LeftPartner,vai mo vaaaaaaaaaaaaaa,1786982914.965514
ida1gq0j,5,dppd11s7,34-bargaining_tdl_main-36_2_3,RightPartner,awee ,1786982919.357867
ida1gq0j,5,dppd11s7,34-bargaining_tdl_main-36_1_3,LeftPartner,va mo va,1786982922.6374462
ida1gq0j,6,022lsgxg,34-bargaining_tdl_main-36_1_2,LeftPartner,scamaniii scia,1786982931.940869
ida1gq0j,6,022lsgxg,34-bargaining_tdl_main-36_1_3,RightPartner,aweeeeeee,1786982935.9355397
42wyqhtt,4,1c8niseg,36-bargaining_tdl_main-39_2_3,RightPartner,shahahahahe,1786983570.427837
42wyqhtt,4,1c8niseg,36-bargaining_tdl_main-39_1_3,LeftPartner,dndjsrhsrh,1786983573.115813
42wyqhtt,1,v82mb1l6,36-bargaining_tdl_main-39_1_2,LeftPartner,shshahah,1786983581.5363805
42wyqhtt,2,916rj59e,36-bargaining_tdl_main-39_1_2,RightPartner,dhsrhahah,1786983586.0033522
42wyqhtt,7,jtfiygco,36-bargaining_tdl_main-40_1_2,RightPartner,aegaegagaeg,1786984168.0901093
42wyqhtt,7,jtfiygco,36-bargaining_tdl_main-40_2_3,LeftPartner,thjejrsh,1786984170.6959877
42wyqhtt,9,0sp1r3vj,36-bargaining_tdl_main-40_1_3,RightPartner,srhhahah,1786984177.370523
42wyqhtt,8,msqk2dfp,36-bargaining_tdl_main-40_1_3,LeftPartner,xhrhahaha,1786984182.7245753
959676bq,3,i7c3o3lp,40-bargaining_tdl_main-45_2_3,RightPartner,prova ciao ciao,1787003619.1671991
959676bq,3,i7c3o3lp,40-bargaining_tdl_main-45_1_3,LeftPartner,test ciao ciao,1787003623.921546
959676bq,1,njbom60t,40-bargaining_tdl_main-45_1_2,LeftPartner,test ciao ciao,1787003633.7428842
yv2jggqe,5,v502ejx4,37-bargaining_tdl_main-46_1_3,RightPartner,"Hello, do you want to team up consistently for this?",1787064282.5513368
yv2jggqe,2,r42bpll1,37-bargaining_tdl_main-46_1_2,RightPartner,Hello would you like to support each other,1787064286.5281985
yv2jggqe,3,kfy3livq,37-bargaining_tdl_main-46_2_3,RightPartner,hello! i hope your day is going great. how are you today?,1787064297.7850692
yv2jggqe,5,v502ejx4,37-bargaining_tdl_main-46_1_2,LeftPartner,"I'm willing to, would you be inclined to always support each other?",1787064300.7292244
yv2jggqe,3,kfy3livq,37-bargaining_tdl_main-46_1_3,LeftPartner,hello! i hope you're doing well. sure!,1787064315.3886378
yv2jggqe,2,r42bpll1,37-bargaining_tdl_main-46_1_2,RightPartner,sure its the best way to earn the bonus,1787064320.6145627
yv2jggqe,2,r42bpll1,37-bargaining_tdl_main-46_2_3,LeftPartner,Hello I am good today,1787064328.2252731
yv2jggqe,5,v502ejx4,37-bargaining_tdl_main-46_1_3,RightPartner,"Okay, I'm choosing to always team up with you.",1787064331.5177543
yv2jggqe,2,r42bpll1,37-bargaining_tdl_main-46_2_3,LeftPartner,how are you,1787064337.2802613
yv2jggqe,3,kfy3livq,37-bargaining_tdl_main-46_2_3,RightPartner,i'm doing good! thank you for asking. ,1787064348.9096549
yv2jggqe,12,if1qrxe2,37-bargaining_tdl_main-47_1_2,RightPartner,Hello,1787064384.764784
yv2jggqe,12,if1qrxe2,37-bargaining_tdl_main-47_1_2,RightPartner,Would you like to support each other?,1787064400.8798406
yv2jggqe,4,v8t611q5,37-bargaining_tdl_main-47_2_3,RightPartner,"Hey, Im willing to support you if you support me. Let me know if that's cool!",1787064407.1545315
yv2jggqe,7,exlf647s,37-bargaining_tdl_main-47_1_2,LeftPartner,Yes I think we should,1787064414.4543622
yv2jggqe,7,exlf647s,37-bargaining_tdl_main-47_1_3,RightPartner,hello,1787064419.2567573
yv2jggqe,12,if1qrxe2,37-bargaining_tdl_main-47_2_3,LeftPartner,That's perfect for me,1787064420.6026883
yv2jggqe,4,v8t611q5,37-bargaining_tdl_main-47_1_3,LeftPartner,"Hey, Im willing to support you if you support me. Let me know if that's cool!",1787064421.341437
yv2jggqe,18,enx0bvqy,37-bargaining_tdl_main-48_2_3,RightPartner,Hello! Just checking in to see if we have mutual support?,1787064425.6712973
yv2jggqe,4,v8t611q5,37-bargaining_tdl_main-47_2_3,RightPartner,Ok great,1787064427.7136471
yv2jggqe,7,exlf647s,37-bargaining_tdl_main-47_1_2,LeftPartner,can i ask how I would trust you?,1787064430.775031
yv2jggqe,6,grq8uybw,37-bargaining_tdl_main-48_1_3,RightPartner,what's your favorite color? Mine is purple,1787064431.8532517
yv2jggqe,18,enx0bvqy,37-bargaining_tdl_main-48_1_3,LeftPartner,Hello! Just checking in to see if we have mutual support?,1787064441.142519
yv2jggqe,6,grq8uybw,37-bargaining_tdl_main-48_1_2,LeftPartner,what is your favorite color? Mine is orange,1787064445.8377497
yv2jggqe,18,enx0bvqy,37-bargaining_tdl_main-48_1_3,LeftPartner,Mine is pink and purple!,1787064450.2502303
yv2jggqe,7,exlf647s,37-bargaining_tdl_main-47_1_2,LeftPartner,"The other participant left anyways, so might as well trust each other right?",1787064457.0638719
yv2jggqe,7,exlf647s,37-bargaining_tdl_main-47_1_2,LeftPartner,lol,1787064462.416097
yv2jggqe,10,havx50xw,37-bargaining_tdl_main-48_2_3,LeftPartner,Definitely!  I will support you too.,1787064462.8322074
yv2jggqe,12,if1qrxe2,37-bargaining_tdl_main-47_1_2,RightPartner,Yeah sure.,1787064467.8282592
yv2jggqe,7,exlf647s,37-bargaining_tdl_main-47_1_2,LeftPartner,ready to move forward,1787064470.8639205
yv2jggqe,18,enx0bvqy,37-bargaining_tdl_main-48_2_3,RightPartner,Awesome! Sounds like a deal,1787064474.1972067
yv2jggqe,10,havx50xw,37-bargaining_tdl_main-48_1_2,RightPartner,"Howdy, I like purple myself.",1787064481.5782964
yv2jggqe,10,havx50xw,37-bargaining_tdl_main-48_2_3,LeftPartner,Great!,1787064498.6295152
yv2jggqe,18,enx0bvqy,37-bargaining_tdl_main-48_2_3,RightPartner,Let’s go!,1787064506.2507854
